layer,N_neurons,K_opt,Silhouette_KMeans,DBI_KMeans,Silhouette_Agglo,DBI_Agglo
fc_fc2,256,2,0.19319063,2.2681032553118388,0.14806335,2.578966624508094
fc_fc3,128,6,0.22028151,1.5268879715944557,0.16480336,1.6307964851456307
fc_fc4,64,4,0.24802712,1.618158238757018,0.21980572,1.7222304361847742
fc_fc5,32,2,0.14052135,2.0046916238761745,0.1584626,2.0856588876143594
res_c2.0,128,2,0.49745882,1.0048726101467846,0.46887156,1.017823692934438
res_c3.0,256,2,0.28726047,1.545195874616159,0.26908505,1.597244035076161
res_c4.0,512,2,0.52324176,1.386142788989452,0.42620006,1.575253731617404
res_classifier_head.3,10,2,0.060551196,0.7936310030997877,0.060551196,0.7936310030997877
